"","pheno1"
"rs31443144",0.110551404786157
"rs6269442",0.11055140478599
"rs32285189",0.164468156911375
"rs258367496",0.164468156911115
"rs32430919",0.13878950491845
"rs36251697",0.138804491676797
"rs30658298",0.112974540393032
"rs51852623",0.11297454039281
"rs31879829",0.164704921242299
"rs36742481",0.164704921242033
"rs6365999",0.150307755438045
"rs13470446",0.150432416203068
"c1.loc2.6",0.0852021646974108
"Affy_10344635",0.0353703463617588
"rs6376963",0.0351576028567622
"c1.loc3",0.0538278622641818
"rs30847416",0.0734502152010829
"rs32759286",0.0734502152009471
"rs31625087",0.115661656795096
"rs31716357",0.115661656794806
"rs3677817",0.0728617824552191
"rs47937185",0.0728617824549661
"c1.loc3.5",0.102716305282275
"rs32140280",0.133049421818884
"rs32096391",0.133049421818564
"rs47493511",0.108353770622793
"rs31190522",0.107910180920956
"rs6298633",0.10791018092066
"rs31362910",0.107910180920345
"rs31878990",0.107426521295696
"rs32186775",0.0615251424455762
"c1.loc4.4",0.0367846940137486
"rs31868650",0.017206447987605
"c1.loc4.7",0.0170224550617357
"rs6360236",0.016839471950101
"rs32740138",0.0168394719499096
"rs249962268_D1Mit1",0.000276406277979461
"rs30991578",0.00615121982335564
"rs32347261",0.00615121982331244
"c1.loc5.2",0.0141169634622187
"rs36585555",0.0250054648567998
"c1.loc5.5",0.00479751435130112
"rs30477285",0.000449623585741828
"c1.loc5.8",0.025571694147823
"rs32223513",0.0874749729455158
"rs45688852",0.0827314757697957
"rs48988706",0.0827314757700858
"rs31710291",0.0830479125234099
"rs31794283",0.0470164205219705
"rs6296049",0.240021527290589
"rs32381514",0.240021527291545
"rs31577697",0.241585620659742
"rs30996958",0.241585620660427
"rs31574495",0.343210436630532
"rs32016169",0.343210436631309
"rs6291839",0.344011205387019
"rs32105394",0.344011205387648
"rs3088964",0.34481997071808
"rs30752472",0.344819970718716
"rs3678179",0.345637261525435
"rs32109300",0.345637261526102
"rs32127151",0.348264606050078
"c1.loc7.4",0.15702696984318
"rs47275793",0.0368393706476085
"rs32039596",0.0368393706477566
"rs51394091",0.036839370647985
"rs31817535",0.0371332951833049
"rs32171777",0.0371332951834901
"c1.loc7.9",0.0102874955038646
"rs32043384",7.98624893688863e-05
"rs219716413",9.12891292995805e-05
"rs13475747",0.000107380488118007
"rs51820747",0.000107380488130351
"rs51700370",0.000124964493206401
"rs52118613",0.000124964493224916
"rs31772262",5.96791404399204e-07
"rs3670611",8.62809242570343e-10
"rs224386739",8.62815414266129e-10
"rs36660068",7.27002218564431e-07
